vol_id,page_seq,entity,type
mdp.39015066051023,346,she,PERSON
uc1.$b300242,164,K.M. Dickty K.M.,PERSON
txu.059173005430726,168,her,PERSON
uc1.$b119911,204,his,PERSON
mdp.39015034518962,95,Clea,PERSON
uva.x004346812,71,New York,LOCATION
uc1.b4368522,144,his,PERSON
ucbk.ark:/28722/h29z8m,425,Equatorial,MISC
uc1.$b510296,34,Francis,PERSON
mdp.39015021862308,242,him,PERSON
uc1.$b800082,106,his,PERSON
mdp.39015038025527,71,her,PERSON
uc1.b4097270,132,he,PERSON
mdp.39015015351599,237,Billy,PERSON
osu.32435018054957,70,he,PERSON
uc1.$b251007,78,He,PERSON
dul1.ark:/13960/t6vx6fj7q,202,Richard,PERSON
pst.000046347077,139,Mother Barker,PERSON
mdp.39015004753730,318,her,PERSON
emu.010001355363,28,his,PERSON
uc1.b3973268,226,Harry,PERSON
mdp.39015014135811,526,him,PERSON
mdp.39015020712173,51,His,PERSON
mdp.39015008240296,279,her,PERSON
uc1.$b401346,92,his,PERSON
mdp.39015018046923,283,Atlanta,LOCATION
uc1.b3456549,92,her,PERSON
mdp.39015028095795,119,Marise,PERSON
miun.abr7583.0001.001,50,he,PERSON
uc1.b3834441,237,her,PERSON
mdp.39015014135811,398,Don,PERSON
mdp.39015024079330,141,Waldo,PERSON
mdp.39015014637402,114,he,PERSON
uc1.$b808977,168,Joe,PERSON
uc1.b4368522,296,He,PERSON
mdp.39015053538297,115,he,PERSON
mdp.39015038025527,139,she,PERSON
mdp.39015014135811,522,He,PERSON
uc1.$b120117,174,Evans,PERSON
uc1.b4095384,60,he,PERSON
mdp.39015033255236,239,Hester,PERSON
mdp.39015059435944,209,his,PERSON
mdp.39015066034508,138,her,PERSON
mdp.39015037468769,66,Dexter,PERSON
mdp.39015007057337,153,She,PERSON
njp.32101068170834,183,her,PERSON
uiug.30112002544713,22,he,PERSON
txu.059173005430726,278,his,PERSON
mdp.39015028718305,82,Trevor,PERSON
osu.32435018054957,402,her,PERSON
uva.x004346812,197,he,PERSON
mdp.39015061148626,210,him,PERSON
uc1.b3711043,273,she,PERSON
uc1.$b251007,46,Maurice LeFleur,PERSON
uc1.b3688127,105,Sissy,PERSON
mdp.39015011800169,20,Gloucester,LOCATION
mdp.39015004315027,122,her,PERSON
mdp.39015050487928,200,he,PERSON
mdp.39015073495692,157,he,PERSON
mdp.39015059415839,54,He,PERSON
mdp.39015061148626,374,afternoon,TIME
mdp.39015002375338,397,Wilcox Turner,PERSON
uc1.b4095384,157,his,PERSON
mdp.39015037484576,27,her,PERSON
mdp.39015066034508,42,she,PERSON
mdp.39015010423526,238,him,PERSON
mdp.39015014135811,284,Don,PERSON
uc1.b3687493,129,he,PERSON
dul1.ark:/13960/t6vx6fj7q,435,He,PERSON
mdp.39015009022487,18,her,PERSON
osu.32435067037481,52,he,PERSON
uc2.ark:/13960/t1zc7sr2j,179,her,PERSON
mdp.39015022022837,30,He,PERSON
mdp.39015025101117,140,Yeh,PERSON
mdp.39015050555963,77,he,PERSON
emu.010000426223,109,Dubley,PERSON
uc1.b3435067,70,Ramón,PERSON
uc1.32106012836174,355,him,PERSON
mdp.39015020852250,191,Virginia,LOCATION
uc1.b3688021,203,her,PERSON
pst.000005442492,58,she,PERSON
mdp.39015002318718,125,Harlem,LOCATION
mdp.39015033142137,37,Mudear,PERSON
uiug.30112003263263,51,he,PERSON
mdp.39015012057637,77,Burghardt,PERSON
mdp.39015042099351,221,Tim,PERSON
uc1.b3711124,173,Birmingham,LOCATION
osu.32435060119922,69,his,PERSON
txu.059173022944752,121,she,PERSON
mdp.39015014776184,93,Mapes,PERSON
aeu.ark:/13960/t1mg87x3z,272,his,PERSON
mdp.39015013742807,37,His,PERSON
mdp.39015002741620,210,her,PERSON
mdp.39015020728666,184,She,PERSON
uc1.b2838559,151,Ocee,ORGANIZATION
mdp.39015030113016,117,Georges,PERSON
mdp.39015003636316,16,Happy,ORGANIZATION
mdp.39015008240296,258,his,PERSON
mdp.39015012214691,204,Gabriel,PERSON
txu.059173022944752,225,she,PERSON
uc1.$b63731,179,He,PERSON
mdp.39015014859253,222,Pete,PERSON
mdp.39015014135811,34,he,PERSON
uc2.ark:/13960/t02z12t8w,176,Red sea,LOCATION
uc1.$b63692,37,Confederate,MISC
uc2.ark:/13960/t17m04p6z,289,Dell,ORGANIZATION
mdp.39015030113503,227,he,PERSON
dul1.ark:/13960/t6vx6fj7q,218,Laurie,PERSON
mdp.39015048708344,17,Bob,PERSON
mdp.39015014862471,13,Crescent City,ORGANIZATION
mdp.39015063942067,75,Aaron,PERSON
uva.x002765161,157,Ella,PERSON
uc2.ark:/13960/t5fb4xm9r,11,his,PERSON
mdp.39015016454574,196,he,PERSON
mdp.39015016454152,205,Carrsville,LOCATION
uc1.b4095384,420,she,PERSON
mdp.39015073495692,186,Paris,LOCATION
uc1.b4397888,209,his,PERSON
uc1.$b119911,260,his,PERSON
uc1.b3711121,119,Mistah,PERSON
mdp.39015012856574,137,him,PERSON
uc1.b4097270,126,She,PERSON
uc1.b3688127,28,she,PERSON
uc1.$b63731,41,his,PERSON
uc1.32106007393728,147,him,PERSON
mdp.39015028485905,154,She,PERSON
mdp.39015011800169,103,he,PERSON
uc1.32106007387381,443,Tod,PERSON
uva.x030788124,144,Lewes National Bank,ORGANIZATION
mdp.39015001145047,126,Clem,PERSON
mdp.39015018046923,140,New York,LOCATION
mdp.39015021862308,160,She,PERSON
mdp.39015059415839,323,he,PERSON
mdp.39015030113016,260,Harrow,PERSON
uc2.ark:/13960/t8mc8s37n,69,Grey,PERSON
uc1.$b610326,66,Howden,ORGANIZATION
mdp.39015031233243,19,he,PERSON
mdp.39015001520603,326,MICHIGAN,LOCATION
uc1.b3435126,351,Tyler,PERSON
uc1.$b300242,114,she,PERSON
uva.x000457192,197,Malory,PERSON
mdp.39015011807370,89,Chig,PERSON
mdp.39015014135811,97,his,PERSON
wu.89098876212,48,her,PERSON
mdp.39015034312598,107,he,PERSON
uc1.$b610326,98,Clarkson,PERSON
mdp.39015059415839,196,Atlanta,LOCATION
uc1.$b610326,321,Howden,ORGANIZATION
mdp.39015033255236,16,Hester,PERSON
uc1.a0011554979,82,Nashville American,MISC
nc01.ark:/13960/t3hx2p070,294,She,PERSON
mdp.39015019472599,197,He,PERSON
osu.32435067037481,11,five years ago,DATE
uc1.32106007125674,24,He,PERSON
miun.abr7583.0001.001,249,he,PERSON
mdp.39015020716356,85,He,PERSON
uc1.$b799449,23,she,PERSON
uva.x000170689,164,he,PERSON
uc1.b4368522,131,He,PERSON
mdp.39015028718305,197,He,PERSON
mdp.39015014776184,192,Johnny Paul,PERSON
mdp.39015014891447,281,she,PERSON
mdp.39015011802561,13,Jones,PERSON
mdp.39015004315027,78,her,PERSON
mdp.39015025101117,128,Red,MISC
mdp.39015020712173,350,Rafe,PERSON
nc01.ark:/13960/t9t16484h,30,his,PERSON
uiug.30112001309100,38,Iris,PERSON
mdp.39015030747045,245,Lincoln,PERSON
mdp.39015002741612,17,December 20,DATE
nc01.ark:/13960/t3hx2p070,195,Dick,PERSON
mdp.39015024079330,175,him,PERSON
mdp.39015003636316,171,him,PERSON
mdp.39015012057637,110,his,PERSON
mdp.39015040104955,18,Jake,PERSON
mdp.39015066059711,149,his,PERSON
uc1.b4095384,380,her,PERSON
mdp.39015016454152,145,Ernestine,PERSON
mdp.39015031592358,60,Parkchester,LOCATION
nyp.33433076059314,307,Jean Baptiste,PERSON
dul1.ark:/13960/t6vx6fj7q,448,Leroy,PERSON
mdp.39015020728666,246,she,PERSON
mdp.39015014135803,21,her,PERSON
hvd.hn3hhr,47,he,PERSON
mdp.39015002375338,212,Paul Tully,PERSON
txu.059173025245647,250,her,PERSON
uiug.30112002544713,53,Virginia,LOCATION
nc01.ark:/13960/t1mg7zs6x,187,Strother,PERSON
uc1.b4495386,168,her,PERSON
miun.aat2524.0001.001,87,Rene,PERSON
uva.x006115119,176,He,PERSON
mdp.39015037484576,117,her,PERSON
uc1.$b805638,17,her,PERSON
uc1.b3711043,158,Barney,PERSON
mdp.39015014862471,50,Morgan,PERSON
uc1.32106008091461,59,Georgia,LOCATION
osu.32435017630211,75,him,PERSON
mdp.39015014862497,34,Fern,PERSON
mdp.39015028095795,294,Christopher Cary,PERSON
mdp.39015014862497,235,him,PERSON
mdp.39015019472599,43,Stein,PERSON
mdp.39015030113016,522,His,PERSON
wu.89000744367,78,he,PERSON
mdp.39015071237948,167,Doc,PERSON
uc1.b3462818,142,he,PERSON
txu.059173018339015,186,her,PERSON
mdp.39015040104955,80,him,PERSON
osu.32435018054957,29,him,PERSON
mdp.39015040577473,165,Barbie,PERSON
mdp.39015063978962,110,John,PERSON
mdp.39015011340158,242,Cooper,PERSON
mdp.39015038025527,149,she,PERSON
dul1.ark:/13960/t8vb3f54w,7,her,PERSON
mdp.39015020648625,238,his,PERSON
uc1.$b102361,195,He,PERSON
umn.31951002320734j,562,He,PERSON
uiug.30112001309100,102,Iris,PERSON
uc2.ark:/13960/t88g8g708,389,she,PERSON
njp.32101068170834,42,him,PERSON
uc1.$b799792,250,Clarence,PERSON
uc1.$b76124,27,She,PERSON
mdp.39015002741620,275,Felipe,PERSON
mdp.39015030113503,112,London Rake,LOCATION
uc1.b4097270,24,White,PERSON
uc1.$b802237,75,Lomax,PERSON
uc1.b3688127,175,she,PERSON
inu.39000005850206,161,Dat,PERSON
mdp.39015021862308,107,his,PERSON
uc1.$b101950,43,his,PERSON
mdp.39015003682385,79,him,PERSON
mdp.39015002185265,75,Omoro,PERSON
mdp.39015004315027,163,She,PERSON
mdp.39015011802579,156,He,PERSON
mdp.39015004733401,100,Blake,PERSON
mdp.39015000536758,299,her,PERSON
hvd.hwqs4m,93,he,PERSON
mdp.39015007057337,100,he,PERSON
mdp.39015012856574,290,Ewing,PERSON
uc1.$b236274,176,Sambo,PERSON
uc1.$b802495,76,she,PERSON
emu.010002426670,63,Joe,PERSON
emu.010001355021,295,she,PERSON
osu.32435017630211,109,she,PERSON
mdp.39015021979961,72,him,PERSON
uva.x000457192,210,Laurentine,PERSON
inu.30000007418811,130,she,PERSON
uc1.$b76124,71,he,PERSON
mdp.39015001145047,123,his,PERSON
uc1.32106002143938,239,his,PERSON
mdp.39015031233243,104,Her,PERSON
uc1.$b803101,109,Terry,PERSON
mdp.39015053394667,127,she,PERSON
mdp.39015000536758,40,He,PERSON
uc1.$b401273,119,Madge,PERSON
uc2.ark:/13960/t7dr2rd9m,129,he,PERSON
mdp.39015004315027,179,her,PERSON
nyp.33433076059314,72,he,PERSON
mdp.39015004184241,26,him,PERSON
mdp.39015016414768,23,Hubert,PERSON
uc1.$b300242,159,Bubber,PERSON
uc2.ark:/13960/t7dr2rd9m,67,his,PERSON
uc1.b4450909,96,she,PERSON
mdp.39015024079330,163,he,PERSON
mdp.39015041189922,164,her,PERSON
mdp.39015021862308,247,his,PERSON
uc1.b3711121,364,he,PERSON
mdp.39015004753730,398,her,PERSON
txu.059173022944752,135,she,PERSON
mdp.39015002741612,243,Hugh,PERSON
mdp.39015030113016,530,Ceclie,PERSON
uc1.32106014692526,9,her,PERSON
mdp.39015014135811,270,his,PERSON
mdp.39015059435944,160,Mike,PERSON
mdp.39015016415658,229,he,PERSON
osu.32435018561423,169,he,PERSON
hvd.32044010288199,139,Phoenix,LOCATION
mdp.39015003636316,118,She,PERSON
uc1.32106002158183,222,his,PERSON
nyp.33433076094543,144,his,PERSON
mdp.39015004191832,183,Renay,PERSON
uc1.32106012836174,290,He,PERSON
miun.abr7583.0001.001,64,her,PERSON
mdp.39015002338021,207,her,PERSON
mdp.39015000543242,124,Eliza Tinney,PERSON
mdp.39015059435944,272,she,PERSON
mdp.39015066051023,43,Spring Garden Street,LOCATION
uc1.32106012297450,135,her,PERSON
mdp.39015015351599,170,he,PERSON
coo.31924022491033,186,His,PERSON
emu.10002350164,285,Bank Account,ORGANIZATION
uc1.b4095384,423,him,PERSON
mdp.39015001520702,259,Roaney,PERSON
miun.abw7392.0001.001,87,Barry,PERSON
uiug.30112001309100,95,Iris,PERSON
mdp.39015014637402,409,his,PERSON
mdp.39015021979961,108,he,PERSON
mdp.39015043798431,59,Eva,PERSON
uc1.32106007393728,37,him,PERSON
uc1.b3711043,509,him,PERSON
mdp.39015014862448,148,she,PERSON
uc1.b3462818,69,Ben,PERSON
uc1.$b63692,92,She,PERSON
uc1.b4097270,42,his,PERSON
nnc1.50042212,193,he,PERSON
uc1.$b87048,99,Mary,PERSON
miun.aat2524.0001.001,31,his,PERSON
miun.afb3853.0001.001,20,he,PERSON
uc1.$b312803,88,him,PERSON
uc1.b2838559,84,his,PERSON
uc1.b3435126,178,He,PERSON
mdp.39015024079330,227,Rende,PERSON
uva.x000652535,94,T.J.,LOCATION
mdp.39015059435944,210,her,PERSON
mdp.39015000536758,277,Nick,PERSON
miun.aat2524.0001.001,225,Irene Redfield,PERSON
nyp.33433044940785,117,Hoghead,PERSON
mdp.39015034312598,107,she,PERSON
txu.059173018339015,113,September,DATE
emu.010002426670,197,Jass Lillie,PERSON
mdp.39015003977678,177,he,PERSON
mdp.39015063942067,24,him,PERSON
uc1.$b401343,63,Bernardo,PERSON
mdp.39015046746957,91,Atlanta,LOCATION
mdp.39015024079561,54,him,PERSON
wu.89000744367,48,William,PERSON
mdp.39015016452453,60,his,PERSON
mdp.39015025101117,77,his,PERSON
mdp.39015002719634,45,him,PERSON
miun.abr7583.0001.001,109,she,PERSON
uc1.b3435126,160,his,PERSON
uc1.$b85451,265,Griffin,PERSON
txu.059173022944752,69,she,PERSON
uc1.b3273229,140,he,PERSON
uc1.$b803101,100,Scotchman,MISC
mdp.39015014862471,162,Ross,PERSON
mdp.39015003640045,163,him,PERSON
uc1.32106002158183,151,Crawford,PERSON
mdp.39015002338021,207,she,PERSON
mdp.39015030747045,213,American Negroes,ORGANIZATION
mdp.39015002185265,576,him,PERSON
uc1.$b808977,176,Joe,PERSON
mdp.39015030113016,338,he,PERSON
mdp.39015002185265,540,Uriah,PERSON
mdp.39015002216789,89,She,PERSON
uc1.32106007393728,154,her,PERSON
mdp.39015057621065,280,Jardin des Plantes,ORGANIZATION
osu.32435067037481,113,Mady,PERSON
uc1.32106014692526,194,he,PERSON
uva.x001866470,276,Christ,PERSON
mdp.39015004184241,28,He,PERSON
mdp.39015004753730,113,her,PERSON
uc1.32106008091461,182,Eva,PERSON
mdp.39015048708344,104,2nd Battalion,ORGANIZATION
uc2.ark:/13960/t6k06z120,251,he,PERSON
mdp.39015041189922,222,her,PERSON
mdp.39015028489303,273,He,PERSON
nc01.ark:/13960/t3wt00v24,37,Ian,PERSON
uc1.$b799792,356,he,PERSON
uc1.b3711043,270,her,PERSON
mdp.39015002318718,43,his,PERSON
mdp.39015050487928,283,Jennifer,PERSON
uc1.b4368522,248,Kayser,PERSON
txu.059173005430726,22,American Indian College Fund,ORGANIZATION
mdp.39015014891447,56,She,PERSON
mdp.39015059435944,168,her,PERSON
mdp.39015053538297,73,his,PERSON
txu.059173023654011,134,Clare,PERSON
mdp.39015024079330,231,Sarah,PERSON
mdp.39015014135811,28,Sue,PERSON
mdp.39015000542749,106,him,PERSON
mdp.39015002719634,24,her,PERSON
mdp.39015012856574,98,his,PERSON
mdp.39015004191832,35,Renay,PERSON
uc1.$b401346,287,Nathan,PERSON
emu.10002350164,67,His,PERSON
mdp.39015020728666,85,Nigel,PERSON
mdp.39015021862308,258,Pilate,ORGANIZATION
mdp.39015053394543,68,Sally,PERSON
uc1.b4368520,121,he,PERSON
mdp.39015071237948,233,South,LOCATION
uc1.32106014692526,177,He,PERSON
uc2.ark:/13960/t2n58d91g,137,her,PERSON
mdp.39015031592358,343,him,PERSON
mdp.39015028485905,179,his,PERSON
uc1.32106002143938,103,Transatlantic,MISC
mdp.39015030747045,306,she,PERSON
uc1.b3711043,442,his,PERSON
mdp.39015004753730,251,him,PERSON
mdp.39015007057337,248,Paulette,PERSON
uc1.b3470438,374,Plato,PERSON
mdp.39015004729474,395,he,PERSON
miun.abr7583.0001.001,208,Joanna,PERSON
uc1.b4368522,115,her,PERSON
uva.x001866470,141,Negro,MISC
mdp.39015014862497,22,she,PERSON
mdp.39015073495692,24,his,PERSON
uva.x030749476,120,him,PERSON
mdp.39015030113016,110,Tante Caleen,PERSON
mdp.39015002185265,67,he,PERSON
dul1.ark:/13960/t8vb3f54w,358,she,PERSON
mdp.39015020712173,45,Suwelo,PERSON
uc1.32106010537014,286,his,PERSON
mdp.39015002215245,36,Jake,PERSON
mdp.39015002781840,117,her,PERSON
mdp.39015018971088,229,her,PERSON
mdp.39015011359729,64,his,PERSON
uc2.ark:/13960/t4xg9g41k,224,her,PERSON
uc1.$b401346,484,She,PERSON
mdp.39015040637855,75,Minute Men,MISC
uc1.b2839282,273,She,PERSON
uc1.32106016182757,224,Mary Agnes,PERSON
mdp.39015020648625,231,Lester McKinley,PERSON
mdp.39015011359729,66,Goldy,PERSON
emu.010001070551,17,Samuel,PERSON
uc1.b4095384,384,He,PERSON
mdp.39015000536758,208,He,PERSON
uc1.b3273229,56,Jake,PERSON
mdp.39015054095792,205,he,PERSON
mdp.39015002741612,44,she,PERSON
uc1.b4097270,77,Martin,PERSON
mdp.39015001520603,123,Rosie,PERSON
uc1.b2838559,141,Dallas,LOCATION
mdp.39015033255236,374,She,PERSON
miun.abr7583.0001.001,179,she,PERSON
miun.abr7583.0001.001,292,Peter,PERSON
uc1.32106018321106,21,Ticey,PERSON
mdp.39015018046923,193,he,PERSON
uiug.30112002544713,90,his,PERSON
mdp.39015014859253,318,her,PERSON
mdp.39015014637402,69,She,PERSON
mdp.39015016415658,202,Kentucky,LOCATION
mdp.39015002375338,56,her,PERSON
uc1.$b805413,125,Verne,PERSON
dul1.ark:/13960/t6vx6fj7q,414,Hack Dawson,PERSON
uva.x006115119,188,He,PERSON
mdp.39015040116777,131,Pedro Blanco,PERSON
mdp.39015028718305,80,Paris,LOCATION
mdp.39015014135811,428,He,PERSON
mdp.39015031592358,271,YWCA,ORGANIZATION
uc1.a0011554979,102,Negro of the North,PERSON
mdp.39015020716356,330,Pietro,PERSON
mdp.39015014776184,146,he,PERSON
uc1.32106002158183,226,she,PERSON
dul1.ark:/13960/t8vb3f54w,334,she,PERSON
miun.abr7583.0001.001,23,she,PERSON
mdp.39015034312598,126,Rodina,PERSON
uc1.32106007902726,290,Dat,PERSON
mdp.39015001816555,163,Bremburg,PERSON
uva.x002765161,298,He,PERSON
mdp.39015004191832,194,Vance,PERSON
mdp.39015003977678,198,Zane Grey,PERSON
mdp.39015030113016,543,South,LOCATION
mdp.39015003636191,50,Elgar,PERSON
mdp.39015014135803,124,she,PERSON
dul1.ark:/13960/t6vx6fj7q,115,his,PERSON
mdp.39015001520702,96,he,PERSON
uc2.ark:/13960/t3cz32x93,14,Clotille,PERSON
uc1.32106010569173,154,Lorraine,PERSON
uc1.32106002116413,325,she,PERSON
mdp.39015014862448,350,Quentin,PERSON
uc1.$b101950,152,his,PERSON
uiug.30112001309100,209,Lewis,PERSON
uc1.b4097270,187,Fullard Bap,ORGANIZATION
uc1.32106018321106,119,He,PERSON
uva.x030788124,195,Herron,PERSON
uc1.32106012297450,63,her,PERSON
uc1.32106005672461,145,him,PERSON
mdp.39015020716356,135,Hugue,PERSON
uc1.$b76124,200,her,PERSON
uc1.$b312802,46,him,PERSON
mdp.39015013331627,121,He,PERSON
miun.afb3853.0001.001,348,she,PERSON
mdp.39015019472599,284,White,PERSON
mdp.39015020728666,112,Rufus,PERSON
uc2.ark:/13960/t6k06z120,142,her,PERSON
uc1.b3711121,472,Heinrich,PERSON
mdp.39015020648625,347,him,PERSON
uc1.32106002116413,184,Taylor,PERSON
mdp.39015028489303,92,She,PERSON
osu.32435067037481,57,him,PERSON
mdp.39015001816555,252,U. S. Army,ORGANIZATION
mdp.39015022022837,95,Harvey,PERSON
uc1.b3273229,70,Jim Gill,PERSON
mdp.39015002781840,166,Helen,PERSON
uc1.$b312452,184,Manasquan,LOCATION
uc1.$b63692,203,him,PERSON
uc1.$b87048,142,her,PERSON
mdp.39015040621420,125,her,PERSON
mdp.39015004753730,307,May,DATE
aeu.ark:/13960/t1mg87x3z,113,he,PERSON
mdp.39015038579374,217,He,PERSON
mdp.39015016452230,76,she,PERSON
mdp.39015014776184,188,her,PERSON
uc1.$b610326,53,Thompson,PERSON
mdp.39015015209623,164,him,PERSON
mdp.39015048899069,194,Saturday,DATE
mdp.39015053538297,187,Santo Domingo,ORGANIZATION
uc2.ark:/13960/t1cj8877v,233,his,PERSON
mdp.39015000542749,58,He,PERSON
mdp.39015028095795,251,him,PERSON
uc1.32106007393728,157,He,PERSON
aeu.ark:/13960/t1mg87x3z,80,She,PERSON
mdp.39015020728666,274,her,PERSON
uc1.32106010569173,143,her,PERSON
uva.x030788124,277,he,PERSON
mdp.39015059435944,75,she,PERSON
mdp.39015030113503,305,Preston Knox,PERSON
mdp.39015000536758,183,Nick,PERSON
mdp.39015037423764,269,Cisco,ORGANIZATION
mdp.39015014637402,176,Big Black,ORGANIZATION
mdp.39015002375338,378,Kil,PERSON
wu.89000744367,131,she,PERSON
uc1.$b119911,332,He,PERSON
mdp.39015033255236,109,her,PERSON
nc01.ark:/13960/t3mw3rp2b,220,her,PERSON
nyp.33433076059314,327,she,PERSON
mdp.39015030202835,37,her,PERSON
mdp.39015033255236,213,Jim,PERSON
mdp.39015024079561,46,him,PERSON
hvd.32044010537264,207,her,PERSON
uc1.$b401346,495,her,PERSON
uc2.ark:/13960/t88g8g708,124,he,PERSON
uc1.$b323002,238,his,PERSON
nc01.ark:/13960/t9t16484h,78,him,PERSON
mdp.39015040365572,185,he,PERSON
uc1.$b799792,352,she,PERSON
uc1.32106016182757,106,Jack,PERSON
wu.89098876212,302,he,PERSON
mdp.39015001520702,129,she,PERSON
mdp.39015053394295,261,West Indian,MISC
mdp.39015014776184,57,Tessie,PERSON
uc1.$b799449,118,He,PERSON
mdp.39015003635185,91,Swedish,MISC
uc1.b3973268,126,he,PERSON
uc1.$b805570,51,her,PERSON
mdp.39015071237948,359,her,PERSON
