,vol_id,page_seq,entity,type
206,mdp.39015009022487,18,her,PERSON
207,osu.32435067037481,52,he,PERSON
208,uc2.ark:/13960/t1zc7sr2j,179,her,PERSON
209,mdp.39015022022837,30,He,PERSON
210,mdp.39015025101117,140,Yeh,PERSON
211,mdp.39015050555963,77,he,PERSON
212,emu.010000426223,109,Dubley,PERSON
213,uc1.b3435067,70,Ramón,PERSON
214,uc1.32106012836174,355,him,PERSON
215,mdp.39015020852250,191,Virginia,LOCATION
216,uc1.b3688021,203,her,PERSON
217,pst.000005442492,58,she,PERSON
218,mdp.39015002318718,125,Harlem,LOCATION
219,mdp.39015033142137,37,Mudear,PERSON
220,uiug.30112003263263,51,he,PERSON
221,mdp.39015012057637,77,Burghardt,PERSON
222,mdp.39015042099351,221,Tim,PERSON
223,uc1.b3711124,173,Birmingham,LOCATION
224,osu.32435060119922,69,his,PERSON
225,txu.059173022944752,121,she,PERSON
226,mdp.39015014776184,93,Mapes,PERSON
227,aeu.ark:/13960/t1mg87x3z,272,his,PERSON
228,mdp.39015013742807,37,His,PERSON
229,mdp.39015002741620,210,her,PERSON
230,mdp.39015020728666,184,She,PERSON
231,uc1.b2838559,151,Ocee,ORGANIZATION
232,mdp.39015030113016,117,Georges,PERSON
233,mdp.39015003636316,16,Happy,ORGANIZATION
234,mdp.39015008240296,258,his,PERSON
235,mdp.39015012214691,204,Gabriel,PERSON
236,txu.059173022944752,225,she,PERSON
237,uc1.$b63731,179,He,PERSON
238,mdp.39015014859253,222,Pete,PERSON
239,mdp.39015014135811,34,he,PERSON
240,uc2.ark:/13960/t02z12t8w,176,Red sea,LOCATION
241,uc1.$b63692,37,Confederate,MISC
242,uc2.ark:/13960/t17m04p6z,289,Dell,ORGANIZATION
243,mdp.39015030113503,227,he,PERSON
244,dul1.ark:/13960/t6vx6fj7q,218,Laurie,PERSON
245,mdp.39015048708344,17,Bob,PERSON
246,mdp.39015014862471,13,Crescent City,ORGANIZATION
247,mdp.39015063942067,75,Aaron,PERSON
248,uva.x002765161,157,Ella,PERSON
249,uc2.ark:/13960/t5fb4xm9r,11,his,PERSON
250,mdp.39015016454574,196,he,PERSON
251,mdp.39015016454152,205,Carrsville,LOCATION
252,uc1.b4095384,420,she,PERSON
253,mdp.39015073495692,186,Paris,LOCATION
254,uc1.b4397888,209,his,PERSON
255,uc1.$b119911,260,his,PERSON
256,uc1.b3711121,119,Mistah,PERSON
257,mdp.39015012856574,137,him,PERSON
258,uc1.b4097270,126,She,PERSON
259,uc1.b3688127,28,she,PERSON
260,uc1.$b63731,41,his,PERSON
261,uc1.32106007393728,147,him,PERSON
262,mdp.39015028485905,154,She,PERSON
263,mdp.39015011800169,103,he,PERSON
264,uc1.32106007387381,443,Tod,PERSON
265,uva.x030788124,144,Lewes National Bank,ORGANIZATION
266,mdp.39015001145047,126,Clem,PERSON
267,mdp.39015018046923,140,New York,LOCATION
268,mdp.39015021862308,160,She,PERSON
269,mdp.39015059415839,323,he,PERSON
270,mdp.39015030113016,260,Harrow,PERSON
271,uc2.ark:/13960/t8mc8s37n,69,Grey,PERSON
272,uc1.$b610326,66,Howden,ORGANIZATION
273,mdp.39015031233243,19,he,PERSON
274,mdp.39015001520603,326,MICHIGAN,LOCATION
275,uc1.b3435126,351,Tyler,PERSON
276,uc1.$b300242,114,she,PERSON
277,uva.x000457192,197,Malory,PERSON
278,mdp.39015011807370,89,Chig,PERSON
279,mdp.39015014135811,97,his,PERSON
280,wu.89098876212,48,her,PERSON
281,mdp.39015034312598,107,he,PERSON
282,uc1.$b610326,98,Clarkson,PERSON
283,mdp.39015059415839,196,Atlanta,LOCATION
284,uc1.$b610326,321,Howden,ORGANIZATION
285,mdp.39015033255236,16,Hester,PERSON
286,uc1.a0011554979,82,Nashville American,MISC
287,nc01.ark:/13960/t3hx2p070,294,She,PERSON
288,mdp.39015019472599,197,He,PERSON
289,osu.32435067037481,11,five years ago,DATE
290,uc1.32106007125674,24,He,PERSON
291,miun.abr7583.0001.001,249,he,PERSON
292,mdp.39015020716356,85,He,PERSON
293,uc1.$b799449,23,she,PERSON
294,uva.x000170689,164,he,PERSON
295,uc1.b4368522,131,He,PERSON
296,mdp.39015028718305,197,He,PERSON
297,mdp.39015014776184,192,Johnny Paul,PERSON
298,mdp.39015014891447,281,she,PERSON
299,mdp.39015011802561,13,Jones,PERSON
300,mdp.39015004315027,78,her,PERSON
301,mdp.39015025101117,128,Red,MISC
302,mdp.39015020712173,350,Rafe,PERSON
303,nc01.ark:/13960/t9t16484h,30,his,PERSON
304,uiug.30112001309100,38,Iris,PERSON
305,mdp.39015030747045,245,Lincoln,PERSON
306,mdp.39015002741612,17,December 20,DATE
307,nc01.ark:/13960/t3hx2p070,195,Dick,PERSON
308,mdp.39015024079330,175,him,PERSON
309,mdp.39015003636316,171,him,PERSON
310,mdp.39015012057637,110,his,PERSON
311,mdp.39015040104955,18,Jake,PERSON
312,mdp.39015066059711,149,his,PERSON
313,uc1.b4095384,380,her,PERSON
314,mdp.39015016454152,145,Ernestine,PERSON
315,mdp.39015031592358,60,Parkchester,LOCATION
316,nyp.33433076059314,307,Jean Baptiste,PERSON
317,dul1.ark:/13960/t6vx6fj7q,448,Leroy,PERSON
318,mdp.39015020728666,246,she,PERSON
319,mdp.39015014135803,21,her,PERSON
320,hvd.hn3hhr,47,he,PERSON
321,mdp.39015002375338,212,Paul Tully,PERSON
322,txu.059173025245647,250,her,PERSON
323,uiug.30112002544713,53,Virginia,LOCATION
324,nc01.ark:/13960/t1mg7zs6x,187,Strother,PERSON
325,uc1.b4495386,168,her,PERSON
326,miun.aat2524.0001.001,87,Rene,PERSON
327,uva.x006115119,176,He,PERSON
328,mdp.39015037484576,117,her,PERSON
329,uc1.$b805638,17,her,PERSON
330,uc1.b3711043,158,Barney,PERSON
331,mdp.39015014862471,50,Morgan,PERSON
332,uc1.32106008091461,59,Georgia,LOCATION
333,osu.32435017630211,75,him,PERSON
334,mdp.39015014862497,34,Fern,PERSON
335,mdp.39015028095795,294,Christopher Cary,PERSON
336,mdp.39015014862497,235,him,PERSON
337,mdp.39015019472599,43,Stein,PERSON
338,mdp.39015030113016,522,His,PERSON
339,wu.89000744367,78,he,PERSON
340,mdp.39015071237948,167,Doc,PERSON
341,uc1.b3462818,142,he,PERSON
342,txu.059173018339015,186,her,PERSON
343,mdp.39015040104955,80,him,PERSON
344,osu.32435018054957,29,him,PERSON
345,mdp.39015040577473,165,Barbie,PERSON
346,mdp.39015063978962,110,John,PERSON
347,mdp.39015011340158,242,Cooper,PERSON
348,mdp.39015038025527,149,she,PERSON
349,dul1.ark:/13960/t8vb3f54w,7,her,PERSON
350,mdp.39015020648625,238,his,PERSON
351,uc1.$b102361,195,He,PERSON
352,umn.31951002320734j,562,He,PERSON
353,uiug.30112001309100,102,Iris,PERSON
354,uc2.ark:/13960/t88g8g708,389,she,PERSON
355,njp.32101068170834,42,him,PERSON
356,uc1.$b799792,250,Clarence,PERSON
357,uc1.$b76124,27,She,PERSON
358,mdp.39015002741620,275,Felipe,PERSON
359,mdp.39015030113503,112,London Rake,LOCATION
360,uc1.b4097270,24,White,PERSON
361,uc1.$b802237,75,Lomax,PERSON
362,uc1.b3688127,175,she,PERSON
363,inu.39000005850206,161,Dat,PERSON
364,mdp.39015021862308,107,his,PERSON
365,uc1.$b101950,43,his,PERSON
366,mdp.39015003682385,79,him,PERSON
367,mdp.39015002185265,75,Omoro,PERSON
368,mdp.39015004315027,163,She,PERSON
369,mdp.39015011802579,156,He,PERSON
370,mdp.39015004733401,100,Blake,PERSON
371,mdp.39015000536758,299,her,PERSON
372,hvd.hwqs4m,93,he,PERSON
373,mdp.39015007057337,100,he,PERSON
374,mdp.39015012856574,290,Ewing,PERSON
375,uc1.$b236274,176,Sambo,PERSON
376,uc1.$b802495,76,she,PERSON
377,emu.010002426670,63,Joe,PERSON
378,emu.010001355021,295,she,PERSON
379,osu.32435017630211,109,she,PERSON
380,mdp.39015021979961,72,him,PERSON
381,uva.x000457192,210,Laurentine,PERSON
382,inu.30000007418811,130,she,PERSON
383,uc1.$b76124,71,he,PERSON
384,mdp.39015001145047,123,his,PERSON
385,uc1.32106002143938,239,his,PERSON
386,mdp.39015031233243,104,Her,PERSON
387,uc1.$b803101,109,Terry,PERSON
388,mdp.39015053394667,127,she,PERSON
389,mdp.39015000536758,40,He,PERSON
390,uc1.$b401273,119,Madge,PERSON
391,uc2.ark:/13960/t7dr2rd9m,129,he,PERSON
392,mdp.39015004315027,179,her,PERSON
393,nyp.33433076059314,72,he,PERSON
394,mdp.39015004184241,26,him,PERSON
395,mdp.39015016414768,23,Hubert,PERSON
396,uc1.$b300242,159,Bubber,PERSON
397,uc2.ark:/13960/t7dr2rd9m,67,his,PERSON
398,uc1.b4450909,96,she,PERSON
399,mdp.39015024079330,163,he,PERSON
400,mdp.39015041189922,164,her,PERSON
401,mdp.39015021862308,247,his,PERSON
402,uc1.b3711121,364,he,PERSON
403,mdp.39015004753730,398,her,PERSON
404,txu.059173022944752,135,she,PERSON
405,mdp.39015002741612,243,Hugh,PERSON
406,mdp.39015030113016,530,Ceclie,PERSON
407,uc1.32106014692526,9,her,PERSON
408,mdp.39015014135811,270,his,PERSON
409,mdp.39015059435944,160,Mike,PERSON
410,mdp.39015016415658,229,he,PERSON
411,osu.32435018561423,169,he,PERSON
412,hvd.32044010288199,139,Phoenix,LOCATION
413,mdp.39015003636316,118,She,PERSON
414,uc1.32106002158183,222,his,PERSON
415,nyp.33433076094543,144,his,PERSON
416,mdp.39015004191832,183,Renay,PERSON
417,uc1.32106012836174,290,He,PERSON
418,miun.abr7583.0001.001,64,her,PERSON
419,mdp.39015002338021,207,her,PERSON
420,mdp.39015000543242,124,Eliza Tinney,PERSON
421,mdp.39015059435944,272,she,PERSON
422,mdp.39015066051023,43,Spring Garden Street,LOCATION
423,uc1.32106012297450,135,her,PERSON
424,mdp.39015015351599,170,he,PERSON
425,coo.31924022491033,186,His,PERSON
426,emu.10002350164,285,Bank Account,ORGANIZATION
427,uc1.b4095384,423,him,PERSON
428,mdp.39015001520702,259,Roaney,PERSON
429,miun.abw7392.0001.001,87,Barry,PERSON
430,uiug.30112001309100,95,Iris,PERSON
431,mdp.39015014637402,409,his,PERSON
432,mdp.39015021979961,108,he,PERSON
433,mdp.39015043798431,59,Eva,PERSON
434,uc1.32106007393728,37,him,PERSON
435,uc1.b3711043,509,him,PERSON
436,mdp.39015014862448,148,she,PERSON
437,uc1.b3462818,69,Ben,PERSON
438,uc1.$b63692,92,She,PERSON
439,uc1.b4097270,42,his,PERSON
440,nnc1.50042212,193,he,PERSON
441,uc1.$b87048,99,Mary,PERSON
442,miun.aat2524.0001.001,31,his,PERSON
443,miun.afb3853.0001.001,20,he,PERSON
444,uc1.$b312803,88,him,PERSON
445,uc1.b2838559,84,his,PERSON
446,uc1.b3435126,178,He,PERSON
447,mdp.39015024079330,227,Rende,PERSON
448,uva.x000652535,94,T.J.,LOCATION
449,mdp.39015059435944,210,her,PERSON
450,mdp.39015000536758,277,Nick,PERSON
451,miun.aat2524.0001.001,225,Irene Redfield,PERSON
452,nyp.33433044940785,117,Hoghead,PERSON
453,mdp.39015034312598,107,she,PERSON
454,txu.059173018339015,113,September,DATE
455,emu.010002426670,197,Jass Lillie,PERSON
456,mdp.39015003977678,177,he,PERSON
457,mdp.39015063942067,24,him,PERSON
458,uc1.$b401343,63,Bernardo,PERSON
459,mdp.39015046746957,91,Atlanta,LOCATION
460,mdp.39015024079561,54,him,PERSON
461,wu.89000744367,48,William,PERSON
462,mdp.39015016452453,60,his,PERSON
463,mdp.39015025101117,77,his,PERSON
464,mdp.39015002719634,45,him,PERSON
465,miun.abr7583.0001.001,109,she,PERSON
466,uc1.b3435126,160,his,PERSON
467,uc1.$b85451,265,Griffin,PERSON
468,txu.059173022944752,69,she,PERSON
469,uc1.b3273229,140,he,PERSON
470,uc1.$b803101,100,Scotchman,MISC
471,mdp.39015014862471,162,Ross,PERSON
472,mdp.39015003640045,163,him,PERSON
473,uc1.32106002158183,151,Crawford,PERSON
474,mdp.39015002338021,207,she,PERSON
475,mdp.39015030747045,213,American Negroes,ORGANIZATION
476,mdp.39015002185265,576,him,PERSON
477,uc1.$b808977,176,Joe,PERSON
478,mdp.39015030113016,338,he,PERSON
479,mdp.39015002185265,540,Uriah,PERSON
480,mdp.39015002216789,89,She,PERSON
481,uc1.32106007393728,154,her,PERSON
482,mdp.39015057621065,280,Jardin des Plantes,ORGANIZATION
483,osu.32435067037481,113,Mady,PERSON
484,uc1.32106014692526,194,he,PERSON
485,uva.x001866470,276,Christ,PERSON
486,mdp.39015004184241,28,He,PERSON
487,mdp.39015004753730,113,her,PERSON
488,uc1.32106008091461,182,Eva,PERSON
489,mdp.39015048708344,104,2nd Battalion,ORGANIZATION
490,uc2.ark:/13960/t6k06z120,251,he,PERSON
491,mdp.39015041189922,222,her,PERSON
492,mdp.39015028489303,273,He,PERSON
493,nc01.ark:/13960/t3wt00v24,37,Ian,PERSON
494,uc1.$b799792,356,he,PERSON
495,uc1.b3711043,270,her,PERSON
496,mdp.39015002318718,43,his,PERSON
497,mdp.39015050487928,283,Jennifer,PERSON
498,uc1.b4368522,248,Kayser,PERSON
499,txu.059173005430726,22,American Indian College Fund,ORGANIZATION
500,mdp.39015014891447,56,She,PERSON
501,mdp.39015059435944,168,her,PERSON
502,mdp.39015053538297,73,his,PERSON
503,txu.059173023654011,134,Clare,PERSON
504,mdp.39015024079330,231,Sarah,PERSON
505,mdp.39015014135811,28,Sue,PERSON
506,mdp.39015000542749,106,him,PERSON
507,mdp.39015002719634,24,her,PERSON
508,mdp.39015012856574,98,his,PERSON
509,mdp.39015004191832,35,Renay,PERSON
510,uc1.$b401346,287,Nathan,PERSON
511,emu.10002350164,67,His,PERSON
512,mdp.39015020728666,85,Nigel,PERSON
513,mdp.39015021862308,258,Pilate,ORGANIZATION
514,mdp.39015053394543,68,Sally,PERSON
515,uc1.b4368520,121,he,PERSON
516,mdp.39015071237948,233,South,LOCATION
517,uc1.32106014692526,177,He,PERSON
518,uc2.ark:/13960/t2n58d91g,137,her,PERSON
519,mdp.39015031592358,343,him,PERSON
520,mdp.39015028485905,179,his,PERSON
521,uc1.32106002143938,103,Transatlantic,MISC
522,mdp.39015030747045,306,she,PERSON
523,uc1.b3711043,442,his,PERSON
524,mdp.39015004753730,251,him,PERSON
525,mdp.39015007057337,248,Paulette,PERSON
526,uc1.b3470438,374,Plato,PERSON
527,mdp.39015004729474,395,he,PERSON
528,miun.abr7583.0001.001,208,Joanna,PERSON
529,uc1.b4368522,115,her,PERSON
530,uva.x001866470,141,Negro,MISC
531,mdp.39015014862497,22,she,PERSON
532,mdp.39015073495692,24,his,PERSON
533,uva.x030749476,120,him,PERSON
534,mdp.39015030113016,110,Tante Caleen,PERSON
535,mdp.39015002185265,67,he,PERSON
536,dul1.ark:/13960/t8vb3f54w,358,she,PERSON
537,mdp.39015020712173,45,Suwelo,PERSON
538,uc1.32106010537014,286,his,PERSON
539,mdp.39015002215245,36,Jake,PERSON
540,mdp.39015002781840,117,her,PERSON
541,mdp.39015018971088,229,her,PERSON
542,mdp.39015011359729,64,his,PERSON
543,uc2.ark:/13960/t4xg9g41k,224,her,PERSON
544,uc1.$b401346,484,She,PERSON
545,mdp.39015040637855,75,Minute Men,MISC
546,uc1.b2839282,273,She,PERSON
547,uc1.32106016182757,224,Mary Agnes,PERSON
548,mdp.39015020648625,231,Lester McKinley,PERSON
549,mdp.39015011359729,66,Goldy,PERSON
550,emu.010001070551,17,Samuel,PERSON
551,uc1.b4095384,384,He,PERSON
552,mdp.39015000536758,208,He,PERSON
553,uc1.b3273229,56,Jake,PERSON
554,mdp.39015054095792,205,he,PERSON
555,mdp.39015002741612,44,she,PERSON
556,uc1.b4097270,77,Martin,PERSON
557,mdp.39015001520603,123,Rosie,PERSON
558,uc1.b2838559,141,Dallas,LOCATION
559,mdp.39015033255236,374,She,PERSON
560,miun.abr7583.0001.001,179,she,PERSON
561,miun.abr7583.0001.001,292,Peter,PERSON
562,uc1.32106018321106,21,Ticey,PERSON
563,mdp.39015018046923,193,he,PERSON
564,uiug.30112002544713,90,his,PERSON
565,mdp.39015014859253,318,her,PERSON
566,mdp.39015014637402,69,She,PERSON
567,mdp.39015016415658,202,Kentucky,LOCATION
568,mdp.39015002375338,56,her,PERSON
569,uc1.$b805413,125,Verne,PERSON
570,dul1.ark:/13960/t6vx6fj7q,414,Hack Dawson,PERSON
571,uva.x006115119,188,He,PERSON
572,mdp.39015040116777,131,Pedro Blanco,PERSON
573,mdp.39015028718305,80,Paris,LOCATION
574,mdp.39015014135811,428,He,PERSON
575,mdp.39015031592358,271,YWCA,ORGANIZATION
576,uc1.a0011554979,102,Negro of the North,PERSON
577,mdp.39015020716356,330,Pietro,PERSON
578,mdp.39015014776184,146,he,PERSON
579,uc1.32106002158183,226,she,PERSON
580,dul1.ark:/13960/t8vb3f54w,334,she,PERSON
581,miun.abr7583.0001.001,23,she,PERSON
582,mdp.39015034312598,126,Rodina,PERSON
583,uc1.32106007902726,290,Dat,PERSON
584,mdp.39015001816555,163,Bremburg,PERSON
585,uva.x002765161,298,He,PERSON
586,mdp.39015004191832,194,Vance,PERSON
587,mdp.39015003977678,198,Zane Grey,PERSON
588,mdp.39015030113016,543,South,LOCATION
589,mdp.39015003636191,50,Elgar,PERSON
590,mdp.39015014135803,124,she,PERSON
591,dul1.ark:/13960/t6vx6fj7q,115,his,PERSON
592,mdp.39015001520702,96,he,PERSON
593,uc2.ark:/13960/t3cz32x93,14,Clotille,PERSON
594,uc1.32106010569173,154,Lorraine,PERSON
595,uc1.32106002116413,325,she,PERSON
596,mdp.39015014862448,350,Quentin,PERSON
597,uc1.$b101950,152,his,PERSON
598,uiug.30112001309100,209,Lewis,PERSON
599,uc1.b4097270,187,Fullard Bap,ORGANIZATION
600,uc1.32106018321106,119,He,PERSON
601,uva.x030788124,195,Herron,PERSON
602,uc1.32106012297450,63,her,PERSON
603,uc1.32106005672461,145,him,PERSON
604,mdp.39015020716356,135,Hugue,PERSON
605,uc1.$b76124,200,her,PERSON
606,uc1.$b312802,46,him,PERSON
607,mdp.39015013331627,121,He,PERSON
608,miun.afb3853.0001.001,348,she,PERSON
609,mdp.39015019472599,284,White,PERSON
610,mdp.39015020728666,112,Rufus,PERSON
611,uc2.ark:/13960/t6k06z120,142,her,PERSON
612,uc1.b3711121,472,Heinrich,PERSON
613,mdp.39015020648625,347,him,PERSON
